%LAMBDA nm	HbO2 1/(mm*uM)	Hb 1/(mm*uM)
1505	0.0503	0.0375
1506	0.0502	0.0375
1507	0.0501	0.0375
1508	0.0500	0.0375
1509	0.0499	0.0375
1510	0.0498	0.0375
1511	0.0497	0.0375
1512	0.0496	0.0374
1513	0.0495	0.0374
1514	0.0494	0.0374
1515	0.0494	0.0374
1516	0.0492	0.0373
1517	0.0490	0.0373
1518	0.0488	0.0373
1519	0.0486	0.0372
1520	0.0484	0.0372
1521	0.0482	0.0371
1522	0.0480	0.0369
1523	0.0479	0.0368
1524	0.0477	0.0367
1525	0.0475	0.0365
1526	0.0473	0.0364
1527	0.0470	0.0362
1528	0.0467	0.0360
1529	0.0464	0.0359
1530	0.0462	0.0357
1531	0.0460	0.0355
1532	0.0457	0.0354
1533	0.0455	0.0352
1534	0.0453	0.0350
1535	0.0451	0.0349
1536	0.0448	0.0347
1537	0.0445	0.0345
1538	0.0442	0.0342
1539	0.0440	0.0340
1540	0.0437	0.0338
1541	0.0434	0.0336
1542	0.0431	0.0334
1543	0.0428	0.0331
1544	0.0425	0.0329
1545	0.0423	0.0327
1546	0.0420	0.0325
1547	0.0417	0.0323
1548	0.0415	0.0320
1549	0.0412	0.0318
1550	0.0410	0.0316
1551	0.0407	0.0314
1552	0.0405	0.0313
1553	0.0402	0.0311
1554	0.0400	0.0310
1555	0.0398	0.0308
1556	0.0395	0.0307
1557	0.0392	0.0305
1558	0.0390	0.0304
1559	0.0387	0.0303
1560	0.0385	0.0301
1561	0.0383	0.0299
1562	0.0381	0.0297
1563	0.0379	0.0295
1564	0.0378	0.0293
1565	0.0376	0.0291
1566	0.0374	0.0289
1567	0.0372	0.0288
1568	0.0370	0.0286
1569	0.0368	0.0284
1570	0.0366	0.0282
1571	0.0365	0.0281
1572	0.0364	0.0280
1573	0.0363	0.0279
1574	0.0362	0.0278
1575	0.0361	0.0277
1576	0.0360	0.0275
1577	0.0358	0.0274
1578	0.0357	0.0272
1579	0.0356	0.0270
1580	0.0355	0.0269
1581	0.0353	0.0268
1582	0.0352	0.0267
1583	0.0350	0.0266
1584	0.0349	0.0265
1585	0.0347	0.0264
1586	0.0345	0.0263
1587	0.0343	0.0263
1588	0.0342	0.0262
1589	0.0340	0.0261
1590	0.0338	0.0261
1591	0.0336	0.0260
1592	0.0335	0.0258
1593	0.0334	0.0257
1594	0.0332	0.0256
1595	0.0331	0.0254
1596	0.0329	0.0252
1597	0.0328	0.0250
1598	0.0326	0.0249
1599	0.0324	0.0247
1600	0.0323	0.0245
